kepid;kepoi_name;kepler_name;koi_disposition;koi_pdisposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_period_err1;koi_period_err2;koi_time0bk;koi_time0bk_err1;koi_time0bk_err2;koi_impact;koi_impact_err1;koi_impact_err2;koi_duration;koi_duration_err1;koi_duration_err2;koi_depth;koi_depth_err1;koi_depth_err2;koi_prad;koi_prad_err1;koi_prad_err2;koi_teq;koi_teq_err1;koi_teq_err2;koi_insol;koi_insol_err1;koi_insol_err2;koi_model_snr;koi_tce_plnt_num;koi_tce_delivname;koi_steff;koi_steff_err1;koi_steff_err2;koi_slogg;koi_slogg_err1;koi_slogg_err2;koi_srad;koi_srad_err1;koi_srad_err2;ra;dec;koi_kepmag
9692345;K01485.01;;FALSE POSITIVE;FALSE POSITIVE;0.0000;0;1;1;1;0.687895191;1,21E+01;-1,21E+01;1.336.649.200;1,44E+03;-1,44E+03;0.0180;0.3620;-0.0180;242.330;0.05420;-0.05420;4,63E+06;9,30E+03;-9,30E+03;1.35;1,00E+02;-1,10E+02;1391.0;;;888.72;256.56;-230.67;60.90;1;q1_q17_dr25_tce;4478.00;133.00;-133.00;4.615;0.053;-0.025;0.6510;0.0460;-0.0560;282.179.410;46.457.169;15.657
7898352;K01486.01;Kepler-302 c;CONFIRMED;CANDIDATE;10.000;0;0;0;0;127.282.444.200;1,70E+03;-1,70E+03;1.638.900.000;1,15E+03;-1,15E+03;0.8270;0.0090;-0.0110;715.450;0.07440;-0.07440;8,09E+07;6,26E+04;-6,26E+04;12.04;1,87E+03;-2,06E+03;392.0;;;5.61;2.49;-2.03;148.10;1;q1_q17_dr25_tce;5733.00;115.00;-104.00;4.281;0.143;-0.104;11.830;0.1840;-0.2020;294.316.990;43.629.341;15.505
11402995;K00173.01;Kepler-481 b;CONFIRMED;CANDIDATE;10.000;0;0;0;0;10.060.832.380;1,50E+02;-1,50E+02;1.389.672.300;1,26E+03;-1,26E+03;0.6720;0.0150;-0.5150;457.180;0.05080;-0.05080;4,60E+06;6,10E+03;-6,10E+03;2.58;4,10E+02;-4,00E+02;899.0;;;154.16;68.53;-51.89;86.40;1;q1_q17_dr25_tce;5705.00;114.00;-103.00;4.297;0.156;-0.104;11.400;0.1770;-0.1770;291.907.040;49.262.051;13.844
7898352;K01486.02;Kepler-302 b;CONFIRMED;CANDIDATE;10.000;0;0;0;0;30.183.702.100;1,15E+03;-1,15E+03;1.466.467.500;3,11E+03;-3,11E+03;0.0110;0.3920;-0.0110;587.900;0.10300;-0.10300;9,75E+06;2,89E+04;-2,89E+04;3.65;5,70E+02;-6,20E+02;634.0;;;38.20;17.02;-13.79;37.90;2;q1_q17_dr25_tce;5733.00;115.00;-104.00;4.281;0.143;-0.104;11.830;0.1840;-0.2020;294.316.990;43.629.341;15.505
12062667;K01487.01;;FALSE POSITIVE;FALSE POSITIVE;0.0000;0;0;1;1;2.929.282.440;1,55E+02;-1,55E+02;1.337.227.500;4,74E+03;-4,74E+03;11.400;11.870;-0.0320;679.400;0.21100;-0.21100;2,69E+06;8,00E+03;-8,00E+03;38.42;6,95E+03;-1,29E+04;2112.0;;;4706.45;2516.39;-2847.92;39.20;1;q1_q17_dr25_tce;6634.00;161.00;-181.00;3.831;0.300;-0.100;22.510;0.4070;-0.7560;292.072.690;50.548.290;12.674
7984047;K01552.01;;CANDIDATE;CANDIDATE;0.9390;0;0;0;0;77.634.245.860;6,00E+02;-6,00E+02;4.171.532.120;5,17E+02;-5,17E+02;0.1130;0.1180;-0.1130;410.020;0.02590;-0.02590;1,66E+08;1,02E+05;-1,02E+05;9.40;6,70E+02;-9,20E+02;325.0;;;2.65;0.85;-0.79;185.50;1;q1_q17_dr25_tce;4812.00;172.00;-172.00;4.548;0.066;-0.039;0.7550;0.0540;-0.0740;298.925.930;43.750.370;15.915
7951018;K01553.01;Kepler-890 b;CONFIRMED;CANDIDATE;0.3310;0;0;0;0;52.758.785.050;3,35E+02;-3,35E+02;1.563.063.510;5,26E+02;-5,26E+02;0.3440;0.0790;-0.2210;665.170;0.04040;-0.04040;5,81E+07;2,66E+04;-2,66E+04;8.76;2,91E+03;-9,70E+02;540.0;;;20.08;19.73;-6.50;265.40;1;q1_q17_dr25_tce;6228.00;174.00;-239.00;4.413;0.054;-0.216;11.370;0.3780;-0.1260;288.435.760;43.763.489;15.182
9899355;K01554.01;;FALSE POSITIVE;FALSE POSITIVE;0.0000;0;1;1;1;1.332.564.478;2,29E+01;-2,29E+01;3.545.890.800;1,21E+03;-1,21E+03;12.480;0.3870;-0.0810;603.250;0.07600;-0.07600;1,07E+07;1,11E+04;-1,11E+04;27.04;7,89E+03;-2,61E+03;1618.0;;;1627.50;1446.33;-492.96;119.60;1;q1_q17_dr25_tce;5995.00;189.00;-231.00;4.536;0.048;-0.192;0.8780;0.2560;-0.0850;295.211.030;46.757.229;15.866
12644774;K01555.01;;FALSE POSITIVE;FALSE POSITIVE;0.0000;0;1;1;1;41.077.296.900;1,99E+03;-1,99E+03;3.791.284.800;3,11E+03;-3,11E+03;0.0300;0.4150;-0.0300;552.500;0.11400;-0.11400;1,22E+07;4,44E+04;-4,44E+04;3.25;9,10E+02;-6,80E+02;523.0;;;17.74;15.43;-8.07;28.80;1;q1_q17_dr25_tce;5665.00;189.00;-189.00;4.381;0.195;-0.214;0.9380;0.2630;-0.1970;289.077.030;51.761.822;14.907
9902856;K01556.01;;FALSE POSITIVE;FALSE POSITIVE;0.0000;0;1;0;0;135.912.161.900;2,20E+03;-2,20E+03;2.773.300.000;1,18E+03;-1,18E+03;12.560;638.900;-0.2030;562.800;0.06430;-0.06430;1,02E+08;1,18E+05;-1,18E+05;40.18;1,23E+04;-4,35E+03;370.0;;;4.41;4.09;-1.36;99.50;1;q1_q17_dr25_tce;6141.00;192.00;-213.00;4.468;0.070;-0.210;0.9590;0.2930;-0.1040;296.417.600;46.732.021;15.535
