mission,koi_id,koi_name,koi_time0bk,koi_period,koi_duration,koi_is_planet
Kepler,10797460,K00752.01,170.538750,9.488036,0.123229,1
Kepler,10797460,K00752.02,162.513840,54.418383,0.187792,1
Kepler,10848459,K00754.01,170.307565,1.736952,0.100267,0
Kepler,10854555,K00755.01,171.595550,2.525592,0.068937,1
Kepler,10872983,K00756.01,171.201160,11.094321,0.191438,1
Kepler,10872983,K00756.02,172.979370,4.134435,0.130842,1
Kepler,10872983,K00756.03,179.554370,2.566589,0.101208,1
Kepler,6721123,K00114.01,132.250530,7.361790,0.209250,0
Kepler,10910878,K00757.01,173.621937,16.068647,0.147279,1
Kepler,11446443,K00001.01,122.763305,2.470613,0.072633,1
Kepler,10666592,K00002.01,121.358542,2.204735,0.162027,1
Kepler,6922244,K00010.01,121.119423,3.522498,0.133268,1
Kepler,10984090,K00112.02,133.983180,3.709214,0.109592,1
Kepler,10419211,K00742.01,170.839688,11.521446,0.151663,0
Kepler,10464078,K00743.01,172.484253,19.403938,0.508979,0
Kepler,10480982,K00744.01,184.552164,19.221389,0.199935,0
Kepler,10485250,K00745.01,180.881761,16.469838,0.393242,0
Kepler,10526549,K00746.01,173.258155,9.273582,0.136979,1
Kepler,10583066,K00747.01,171.602959,6.029303,0.065921,1
Kepler,10583180,K00748.01,170.737690,2.696371,0.150537,0
Kepler,10601284,K00749.01,171.806940,5.349554,0.126158,1
Kepler,10601284,K00749.02,136.086620,3.941052,0.108267,1
Kepler,10601284,K00749.03,132.803100,8.109048,0.149833,1
Kepler,2306756,K00113.01,166.342079,386.603053,0.283571,0
Kepler,10662202,K00750.01,171.535940,21.676992,0.143979,1
Kepler,10682541,K00751.01,171.742080,4.996780,0.090487,1
Kepler,11460018,K00769.01,171.896590,4.280964,0.119792,1
Kepler,11463211,K00770.01,170.998064,1.506354,0.063146,0
Kepler,11465813,K00771.01,209.043550,670.645531,2.225500,0
Kepler,11493732,K00772.01,173.838260,61.256363,0.318042,0
Kepler,11507101,K00773.01,172.820480,38.377549,0.232833,1
Kepler,10910878,K00757.02,165.004040,41.197255,0.192904,1
Kepler,10910878,K00757.03,171.301260,6.252962,0.107579,1
Kepler,10987985,K00758.01,176.360800,16.013084,0.135642,1
Kepler,11018648,K00759.01,194.101900,32.628767,0.199879,1
Kepler,11018648,K00759.02,193.837800,91.773286,0.269708,1
Kepler,11152159,K00761.01,170.695790,2.701288,0.140946,0
Kepler,11153539,K00762.01,171.349050,4.498765,0.155675,1
Kepler,11242721,K00763.01,179.401981,19.651210,0.218808,0
Kepler,9579641,K00115.01,133.143089,5.412204,0.122800,1
Kepler,11304958,K00764.01,208.932030,41.439587,0.441621,1
Kepler,11391957,K00765.01,171.632570,8.353895,0.093808,1
Kepler,11403044,K00766.01,169.752585,4.125543,0.132267,1
Kepler,11414511,K00767.01,170.967685,2.816505,0.104411,1
Kepler,11442465,K00768.01,186.676080,33.933734,0.606708,0
Kepler,12110942,K00786.01,170.365710,3.689920,0.110654,1
Kepler,12366084,K00787.01,171.015000,4.431238,0.131250,1
Kepler,12366084,K00787.02,133.849920,11.379370,0.109396,1
Kepler,12404086,K00788.01,176.054590,26.394329,0.148875,1
Kepler,8395660,K00116.01,136.279194,13.570783,0.139746,1
Kepler,9579641,K00115.02,139.004920,7.125944,0.125058,1
Kepler,11656840,K00774.01,169.971780,7.442652,0.096158,0
Kepler,11754553,K00775.01,172.727820,16.384900,0.126037,1
Kepler,11754553,K00775.02,176.375900,7.877416,0.086687,1
Kepler,11754553,K00775.03,151.601250,36.445400,0.166958,1
Kepler,11812062,K00776.01,171.793255,3.728732,0.111792,1
Kepler,11853255,K00778.01,170.679233,2.243381,0.046650,1
Kepler,11909839,K00779.01,177.197466,10.405998,0.270983,0
Kepler,11918099,K00780.01,171.761982,2.337438,0.083258,1
Kepler,11923270,K00781.01,180.395376,11.598222,0.105154,1
